Municipio,Total,Cafe,Cana,Milho,Soja,Soja_norm,Milho_norm,Cana_norm,Cafe_norm,DPF,Classificacao
São Manuel (SP),41378,815.0,38180.0,155.0,1040.0,0.0017333333333333333,0.00031,0.31816666666666665,0.019028718188185852,0.06639370515215191,D - Baixo
Guarapuava (PR),134475,0.0,6.0,13200.0,79600.0,0.13266666666666665,0.0264,5e-05,0.0,0.06631,D - Baixo
Palmital (SP),70685,0.0,20720.0,19783.0,28278.0,0.04713,0.039566,0.17266666666666666,0.0,0.06563333333333332,D - Baixo
Vila Bela da Santíssima Trindade (MT),95272,20.0,0.0,13270.0,78182.0,0.13030333333333333,0.02654,0.0,0.00046696240952603317,0.0653181962409526,D - Baixo
Açailândia (MA),90392,0.0,0.0,9017.0,80906.0,0.13484333333333334,0.018034,0.0,0.0,0.06518800000000001,D - Baixo
Canápolis (MG),59009,0.0,30000.0,3100.0,18000.0,0.03,0.0062,0.25,0.0,0.06505,D - Baixo
Altinópolis (SP),40318,10000.0,23112.0,1600.0,3000.0,0.005,0.0032,0.1926,0.23348120476301656,0.06491812047630166,D - Baixo
Cândido Mota (SP),69695,20.0,20700.0,23285.0,24500.0,0.04083333333333333,0.04657,0.1725,0.00046696240952603317,0.0645641962409526,D - Baixo
Ibiá (MG),100957,5550.0,0.0,18000.0,56500.0,0.09416666666666666,0.036,0.0,0.1295820686434742,0.06433320686434742,D - Baixo
José Bonifácio (SP),49462,0.0,36000.0,900.0,5000.0,0.008333333333333333,0.0018,0.3,0.0,0.0642,D - Baixo
Guaraci (SP),43547,0.0,37400.0,1457.0,1500.0,0.0025,0.002914,0.31166666666666665,0.0,0.06418683333333333,D - Baixo
São Carlos (SP),43145,700.0,36000.0,2000.0,2000.0,0.0033333333333333335,0.004,0.3,0.01634368433341116,0.06413436843334111,D - Baixo
Tupaciguara (MG),79073,191.0,15570.0,7900.0,45000.0,0.075,0.0158,0.12975,0.0044594910109736164,0.06409594910109738,D - Baixo
Porto Alegre do Norte (MT),95072,0.0,0.0,29000.0,66000.0,0.11,0.058,0.0,0.0,0.064,D - Baixo
Iturama (MG),47003,0.0,36500.0,150.0,3800.0,0.006333333333333333,0.0003,0.30416666666666664,0.0,0.06375833333333333,D - Baixo
Jóia (RS),120232,0.0,15.0,3100.0,82900.0,0.13816666666666666,0.0062,0.000125,0.0,0.06375,D - Baixo
General Carneiro (MT),104650,0.0,0.0,35000.0,61380.0,0.1023,0.07,0.0,0.0,0.06353500000000001,D - Baixo
Bela Vista (MS),93558,0.0,8.0,22555.0,69500.0,0.11583333333333333,0.04511,6.666666666666667e-05,0.0,0.06341583333333334,D - Baixo
Limeira do Oeste (MG),41472,0.0,37000.0,700.0,1500.0,0.0025,0.0014,0.30833333333333335,0.0,0.06314166666666668,D - Baixo
Ribeirão Preto (SP),39690,70.0,37104.0,800.0,700.0,0.0011666666666666668,0.0016,0.3092,0.001634368433341116,0.06292843684333412,D - Baixo
Teodoro Sampaio (SP),47341,50.0,36450.0,690.0,2155.0,0.0035916666666666666,0.00138,0.30375,0.0011674060238150829,0.06282799060238152,D - Baixo
Jardinópolis (SP),41069,38.0,36000.0,650.0,2000.0,0.0033333333333333335,0.0013,0.3,0.000887228578099463,0.061913722857809945,D - Baixo
Ubiratã (PR),101973,0.0,0.0,49040.0,49850.0,0.08308333333333333,0.09808,0.0,0.0,0.0619075,D - Baixo
Campo Alegre de Goiás (GO),104302,1104.0,500.0,11800.0,70000.0,0.11666666666666667,0.0236,0.004166666666666667,0.02577632500583703,0.06181096583391704,D - Baixo
Sant'Ana do Livramento (RS),96678,0.0,0.0,3600.0,80000.0,0.13333333333333333,0.0072,0.0,0.0,0.0618,D - Baixo
Padre Bernardo (GO),96267,0.0,0.0,25300.0,65050.0,0.10841666666666666,0.0506,0.0,0.0,0.0614375,D - Baixo
Boa Esperança do Sul (SP),47348,1.0,35000.0,150.0,4000.0,0.006666666666666667,0.0003,0.2916666666666667,2.334812047630166e-05,0.06141066814538097,D - Baixo
Colômbia (SP),55728,6.0,35520.0,1505.0,1838.0,0.0030633333333333333,0.00301,0.296,0.00014008872285780995,0.061345008872285785,D - Baixo
